Chr	Row	Length	CumSum
chr1	1	249250621	249250621
chr2	1	243199373	492449994
chr3	1	198022430	690472424
chr4	2	191154276	191154276
chr5	2	180915260	372069536
chr6	2	171115067	543184603
chr7	2	159138663	702323266
chr8	3	146364022	146364022
chr9	3	141213431	287577453
chr10	3	135534747	423112200
chr11	3	135006516	558118716
chr12	3	133851895	691970611
chr13	4	115169878	115169878
chr14	4	107349540	222519418
chr15	4	102531392	325050810
chr16	4	90354753	415405563
chr17	4	81195210	496600773
chr18	4	78077248	574678021
chr19	4	59128983	633807004
chr20	4	63025520	696832524
chr21	5	48129895	48129895
chr22	5	51304566	99434461
chrX	5	155270560	254705021
chrY	5	59373566	314078587
